Feature,Feature ID,Testcase ID,Testcase Name,Test Status,Log Reference
Đăng nhập bằng tài khoản + mật khẩu,F-AUTH-01,TC-AUTH-01-01,Đăng nhập đúng tài khoản/mật khẩu → vào được hệ thống,Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
Đăng nhập bằng tài khoản + mật khẩu,F-AUTH-01,TC-AUTH-01-02,"Sai mật khẩu → báo lỗi, không đăng nhập",Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
Đăng nhập bằng tài khoản + mật khẩu,F-AUTH-01,TC-AUTH-01-03,Tài khoản không tồn tại → báo lỗi,Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
Điều hướng theo vai trò,F-AUTH-02,TC-AUTH-02-01,Quản trị đăng nhập → vào Doanh Thu (/),Pass,R3 2026-08-04 12:05 · vitest src/composables/useAuth.landing.test.js (8/8) · frontend 132/132
Điều hướng theo vai trò,F-AUTH-02,TC-AUTH-02-02,Nhân viên bán hàng → vào màn được phép đầu tiên,Pass,R3 2026-08-04 12:05 · vitest src/composables/useAuth.landing.test.js (8/8) · frontend 132/132
Điều hướng theo vai trò,F-AUTH-02,TC-AUTH-02-03,Vai trò không có quyền nào → quay lại /login,Pass,R3 2026-08-04 12:05 · vitest src/composables/useAuth.landing.test.js (8/8) · frontend 132/132
Nút Vào demo (Admin),F-AUTH-03,TC-AUTH-03-01,"Bấm ""Vào demo"" khi backend tắt → vào hệ thống với toàn quyền",Pass,"R3 2026-08-04 14:00 · Edge headless + CDP · bấm ""Vào demo"" → bshoes_user={""ma"":""ADMIN"",""quyen"":""*"",""token"":null}, vào được hệ thống"
Nút Vào demo (Admin),F-AUTH-03,TC-AUTH-03-02,RỦI RO: nút demo cho toàn quyền không cần mật khẩu — xác nhận có chặn ở bản phát hành,Not run,"R3 2026-08-04 12:05 · CHỜ KIỂM TAY: cần mở trình duyệt, KHÔNG cần DB"
Thông báo lỗi đăng nhập,F-AUTH-04,TC-AUTH-04-01,"Tắt backend rồi đăng nhập → hiện ""Không kết nối được máy chủ""",Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
Chặn màn hình chưa đăng nhập,F-AUTH-05,TC-AUTH-05-01,Vào /nhan-vien khi chưa đăng nhập → chuyển /login?redirect=/nhan-vien,Pass,"R3 2026-08-04 14:00 · Edge headless + CDP · sau khi đăng xuất, mở /nhan-vien → /login?redirect=/nhan-vien"
Chặn màn hình chưa đăng nhập,F-AUTH-05,TC-AUTH-05-02,Đăng nhập xong → quay lại đúng trang đã yêu cầu,Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
Chặn màn hình không có quyền,F-AUTH-06,TC-AUTH-06-01,Nhân viên bán hàng gõ URL /nhan-vien → bị đẩy về landing của vai trò,Pass,R3 2026-08-04 12:05 · vitest src/composables/useAuth.landing.test.js (8/8) · frontend 132/132
Bảo vệ API theo vai trò ở server,F-AUTH-07,TC-AUTH-07-01,Gọi thẳng API quản trị bằng curl không đăng nhập → phải bị từ chối theo vai trò,Pass,R3 2026-08-04 12:05 · curl: /nhan-vien 401 · /san-pham-ql 401 · /thong-ke/hom-nay 401 · /bao-hanh 401 · token rác 401
Mã hoá mật khẩu,F-AUTH-08,TC-AUTH-08-01,SELECT mat_khau FROM nhan_vien → không được là plaintext,Fail,R3 2026-08-04 12:05 · CỐ Ý bỏ qua theo yêu cầu (prototype user testing). Giữ Fail để không quên trước khi lên bản thật
Đăng xuất,F-AUTH-09,TC-AUTH-09-01,"Đăng xuất → xoá phiên, vào lại /nhan-vien bị chặn",Pass,"R3 2026-08-04 14:00 · Edge headless + CDP · Hệ Thống → Đăng xuất → xác nhận → localStorage bshoes_user = null, chuyển /login"
Danh sách sản phẩm storefront,F-HOME-01,TC-HOME-01-01,Mở /home → hiện sản phẩm THẬT từ DB (không phải 10 sản phẩm mock),Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
Danh sách sản phẩm storefront,F-HOME-01,TC-HOME-01-02,"Sản phẩm tồn = 0 vẫn hiện, kèm nút Đặt trước",Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Lọc theo danh mục,F-HOME-02,TC-HOME-02-01,Nav danh mục lấy từ bảng loai_san_pham,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Lọc theo danh mục,F-HOME-02,TC-HOME-02-02,"Bấm 1 danh mục → lưới lọc đúng; ""Tất cả"" hiện hết",Pass,R3 2026-08-04 12:05 · vitest src/utils/catalog.test.js (9/9) · frontend 132/132
Sắp xếp giá / bán chạy,F-HOME-03,TC-HOME-03-01,Sắp xếp giá tăng / giảm / bán chạy hoạt động cùng bộ lọc danh mục,Pass,R3 2026-08-04 12:05 · vitest src/utils/catalog.test.js (9/9) · frontend 132/132
Ô tìm kiếm storefront,F-HOME-04,TC-HOME-04-01,Gõ tên giày vào ô tìm kiếm + Enter → lưới lọc theo từ khoá,Pass,"R3 2026-08-04 12:05 · Edge headless + CDP: gõ ""nike"" → 10 SP còn 2 (""Nike Air Max phối màu"", ""Giày thể thao Nike Air Zoom""); gõ ""giay"" (không dấu) → 4 SP"
Thêm vào giỏ từ lưới,F-HOME-05,TC-HOME-05-01,"Bấm ""Thêm vào giỏ"" → toast thành công, badge giỏ tăng",Pass,"R3 2026-08-04 12:05 · Edge headless + CDP: bấm ""Thêm vào giỏ"" → localStorage bshoes_cart = [{""id"":7,...,""soLuong"":1}]"
Thêm vào giỏ từ lưới,F-HOME-05,TC-HOME-05-02,"Thêm quá tồn kho → bị chặn, không tăng",Pass,R3 2026-08-04 12:05 · vitest src/composables/useCart.test.js (20/20) · frontend 132/132
Đặt trước từ storefront,F-HOME-06,TC-HOME-06-01,Sản phẩm hết hàng → mở modal đặt trước và lưu được phiếu,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Mở trang chi tiết sản phẩm,F-HOME-07,TC-HOME-07-01,Bấm ảnh/tên → sang /san-pham/:id đúng sản phẩm,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Fallback mock storefront,F-HOME-08,TC-HOME-08-01,"Tắt backend → phải có dấu hiệu ""dữ liệu demo"" trên màn, không im lặng hiện hàng giả",Pass,"R3 2026-08-04 12:05 · Edge headless: backend lỗi 500 → banner đỏ ""ĐANG HIỂN THỊ DỮ LIỆU DEMO"" hiện trên đầu màn /home (đã chụp màn hình)"
Xem chi tiết sản phẩm,F-SPD-01,TC-SPD-01-01,"Mở /san-pham/:id → đúng ảnh, tên, giá, mô tả",Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
