Screen / Class,Feature ID,Feature,Status
"Login — LoginView.vue / AuthController + AuthServiceImpl",F-AUTH-01,"Đăng nhập bằng tài khoản + mật khẩu (POST /api/auth/login)",Implemented
"Login — LoginView.vue / useAuth.js",F-AUTH-02,"Điều hướng sau đăng nhập theo vai trò (landingRoute)",Implemented
"Login — LoginView.vue / useAuth.js",F-AUTH-03,"Nút ""Vào demo (Admin)"" — xem giao diện offline, không có token nên API trả 401 và màn hiện banner dữ liệu demo",Implemented
"Login — LoginView.vue",F-AUTH-04,"Thông báo lỗi khi sai tài khoản / mất kết nối máy chủ",Implemented
"Router — router/index.js + config/screens.js",F-AUTH-05,"Chặn truy cập màn hình chưa đăng nhập (redirect /login kèm ?redirect=)",Implemented
"Router — router/index.js",F-AUTH-06,"Chặn màn hình vai trò không có quyền, đẩy về landing của vai trò",Implemented
"Backend — security/ApiAuthFilter + ScreenPermissions",F-AUTH-07,"Bảo vệ API theo màn hình ở phía server (token + quyền từ nhan_vien_quyen)",Implemented
"Backend — AuthServiceImpl / NhanVien",F-AUTH-08,"Mã hoá mật khẩu (hash) — CỐ Ý bỏ qua: bản prototype dùng cho user testing",Not implemented
"Hệ Thống — HeThongView.vue / useAuth.js",F-AUTH-09,"Đăng xuất (có hộp thoại xác nhận) — thực sự xoá phiên, không chỉ chuyển trang",Implemented
"Storefront — HomeView.vue / SanPhamChiTietController /store",F-HOME-01,"Danh sách sản phẩm cửa hàng (gồm cả hàng hết tồn để đặt trước)",Implemented
"Storefront — HomeView.vue / LoaiSanPhamController",F-HOME-02,"Nav danh mục lấy từ loai_san_pham + lọc lưới sản phẩm theo danh mục",Implemented
"Storefront — HomeView.vue / utils/catalog.js",F-HOME-03,"Sắp xếp giá tăng / giá giảm / bán chạy (cộng dồn với bộ lọc danh mục)",Implemented
"Storefront — HomeView.vue / utils/catalog.js filterByKeyword",F-HOME-04,"Ô tìm kiếm ở header — lọc theo tên / thương hiệu / màu-size, bỏ dấu tiếng Việt",Implemented
"Storefront — HomeView.vue / useCart.js",F-HOME-05,"Thêm sản phẩm vào giỏ từ lưới (chặn khi tồn = 0)",Implemented
"Storefront — HomeView.vue / DatTruocModal.vue",F-HOME-06,"Đặt trước khi hết hàng (mở modal đặt trước từ thẻ sản phẩm)",Implemented
"Storefront — HomeView.vue",F-HOME-07,"Mở trang chi tiết sản phẩm khi bấm ảnh / tên sản phẩm",Implemented
"Storefront — HomeView.vue / DemoDataBanner.vue",F-HOME-08,"Fallback mock khi API lỗi — hiện banner đỏ ""ĐANG HIỂN THỊ DỮ LIỆU DEMO"" kèm nút Thử lại",Implemented
"Chi tiết SP — SanPhamDetailView.vue / SanPhamChiTietController",F-SPD-01,"Xem chi tiết sản phẩm theo id (ảnh, giá, mô tả)",Implemented
"Chi tiết SP — SanPhamDetailView.vue",F-SPD-02,"Chọn màu sắc, đánh dấu màu hết hàng",Implemented
"Chi tiết SP — SanPhamDetailView.vue",F-SPD-03,"Chọn kích cỡ, đánh dấu size hết hàng",Implemented
"Chi tiết SP — SanPhamDetailView.vue",F-SPD-04,"Tăng / giảm số lượng, chặn vượt tồn kho của biến thể",Implemented
"Chi tiết SP — SanPhamDetailView.vue / useCart.js",F-SPD-05,"Thêm vào giỏ",Implemented
"Chi tiết SP — SanPhamDetailView.vue",F-SPD-06,"Mua ngay (thêm giỏ + sang trang giỏ hàng)",Implemented
"Chi tiết SP — SanPhamDetailView.vue / DatTruocModal.vue",F-SPD-07,"Đặt trước biến thể hết hàng",Implemented
"Giỏ hàng — GioHangView.vue / useCart.js",F-CART-01,"Xem giỏ hàng (lưu localStorage, giữ qua reload)",Implemented
"Giỏ hàng — GioHangView.vue / useCart.js",F-CART-02,"Tăng / giảm số lượng dòng, chặn vượt tồn (cảnh báo toast)",Implemented
"Giỏ hàng — GioHangView.vue / useCart.js",F-CART-03,"Xoá 1 dòng khỏi giỏ",Implemented
"Giỏ hàng — GioHangView.vue / useCart.js",F-CART-04,"Xoá toàn bộ giỏ",Implemented
"Giỏ hàng — GioHangView.vue / GioHangController /checkout",F-CART-05,"Đặt hàng online (tạo hoá đơn chờ giao, trừ tồn kho)",Implemented
"Giỏ hàng — GioHangView.vue / GioHangController /don-hang",F-CART-06,"Tra cứu đơn của tôi theo số điện thoại",Implemented
"Giỏ hàng — GioHangView.vue / GioHangController /nhan-hang",F-CART-07,"Khách xác nhận ""Đã nhận hàng"" (đóng đơn)",Implemented
"Giỏ hàng — GioHangView.vue",F-CART-08,"Màn hình xác nhận sau khi đặt hàng thành công (mã đơn + mua tiếp)",Implemented
"Doanh Thu — DashboardView.vue / ThongKeController /hom-nay",F-DASH-01,"KPI hôm nay (doanh thu, số đơn, …)",Implemented
